[16-02-23 20:30:08.769][info] Init chat system....
[16-02-23 20:30:08.769][info] Mode: multiplayer.
[16-02-23 20:30:08.769][info] Chat owner: EL-Mao'.
[16-02-23 22:22:59.144][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:22:59.478][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:23:03.594][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:23:03.794][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:23:08.027][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:23:08.228][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:23:11.994][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:23:12.111][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:23:12.278][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:23:12.511][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:01.178][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:01.311][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:01.544][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:01.694][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:24:01.844][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:01.994][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:02.077][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:24:02.244][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:02.394][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:02.527][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:24:02.711][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:02.944][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:04.111][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:24:04.277][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:04.477][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:04.878][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:05.077][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:05.294][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:24:05.544][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:05.794][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:24:06.096][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:06.294][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:06.544][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:24:06.744][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:24:07.094][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:07.277][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:24:08.594][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 22:24:08.761][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:38:40.728][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 22:38:40.861][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 22:41:00.762][info] Got message from server: ChatMessage{chat=Server, author='Server', text='teleported Muezza to EL-Mao''}.
[16-02-23 22:56:42.061][info] Got message from server: ChatMessage{chat=Server, author='Server', text='teleported Muezza to EL-Mao''}.
[17-02-23 00:16:01.811][info] Got message from server: ChatMessage{chat=Server, author='Server', text='teleported Muezza to EL-Mao''}.
[17-02-23 00:19:58.777][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='psst'}.
[17-02-23 00:19:59.061][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='hey'}.
[17-02-23 00:19:59.494][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='hey'}.
[17-02-23 00:20:00.661][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='pssst!'}.
[17-02-23 00:20:00.827][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='hey'}.
[17-02-23 00:20:00.994][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='hey'}.
[17-02-23 00:20:01.161][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='pssst!'}.
[17-02-23 00:20:07.711][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[17-02-23 00:20:07.894][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[17-02-23 00:20:09.861][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[17-02-23 00:20:10.027][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[17-02-23 00:20:12.794][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[17-02-23 00:20:12.944][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[17-02-23 00:20:13.110][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[17-02-23 00:20:13.311][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[17-02-23 00:20:13.495][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[17-02-23 00:20:13.677][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[17-02-23 00:20:13.844][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[17-02-23 00:20:13.994][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[17-02-23 00:20:14.177][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[17-02-23 00:20:14.377][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[17-02-23 00:20:14.640][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[17-02-23 00:20:14.910][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[17-02-23 00:20:15.111][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[17-02-23 00:20:15.311][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[17-02-23 00:20:15.627][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[17-02-23 00:20:15.877][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
