[15-02-23 22:28:04.070][info] Init chat system....
[15-02-23 22:28:04.070][info] Mode: multiplayer.
[15-02-23 22:28:04.070][info] Chat owner: EL-Mao'.
[16-02-23 00:34:00.964][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:34:01.177][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:03.011][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:03.175][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:03.375][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:34:06.208][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:06.358][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:34:06.558][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:06.725][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:07.541][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:07.741][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:08.425][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:08.858][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:13.708][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:13.875][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:34:20.941][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:21.158][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:22.542][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:22.708][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:22.892][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:24.941][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:34:24.947][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:25.091][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:25.225][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:25.341][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:34:36.092][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:36.243][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:34:45.258][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:34:45.426][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:34:45.591][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:36:10.492][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:36:10.683][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:36:11.184][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:36:11.376][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:36:11.564][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
