[15-02-23 16:48:05.521][info] Init chat system....
[15-02-23 16:48:05.521][info] Mode: multiplayer.
[15-02-23 16:48:05.521][info] Chat owner: EL-Mao'.
[15-02-23 17:17:43.492][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:43.676][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 17:17:43.876][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 17:17:44.092][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 17:17:44.243][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:44.459][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:44.659][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:44.842][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:44.993][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 17:17:45.176][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 17:17:45.626][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
