[15-02-23 17:11:59.182][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:11:59.182][info] Message ChatMessage{chat=Local, author='Gym Burger', text='psst'} sent to chat (id = 2) members.
[15-02-23 17:11:59.309][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.310][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:11:59.439][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.439][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:11:59.560][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.560][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:11:59.690][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.691][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:12:00.356][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:00.357][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:12:03.133][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:03.133][info] Message ChatMessage{chat=Local, author='Gym Burger', text='pssst!'} sent to chat (id = 2) members.
[15-02-23 17:12:04.327][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:04.328][info] Message ChatMessage{chat=Local, author='Gym Burger', text='pssst!'} sent to chat (id = 2) members.
[15-02-23 17:12:04.684][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:04.684][info] Message ChatMessage{chat=Local, author='Gym Burger', text='pssst!'} sent to chat (id = 2) members.
[15-02-23 17:12:04.848][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:04.849][info] Message ChatMessage{chat=Local, author='Gym Burger', text='psst'} sent to chat (id = 2) members.
[15-02-23 17:12:05.002][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:05.002][info] Message ChatMessage{chat=Local, author='Gym Burger', text='hey'} sent to chat (id = 2) members.
[15-02-23 17:12:05.153][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:05.154][info] Message ChatMessage{chat=Local, author='Gym Burger', text='psst'} sent to chat (id = 2) members.
[15-02-23 17:12:05.296][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:05.297][info] Message ChatMessage{chat=Local, author='Gym Burger', text='pssst!'} sent to chat (id = 2) members.
[15-02-23 17:12:05.451][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:05.451][info] Message ChatMessage{chat=Local, author='Gym Burger', text='psst'} sent to chat (id = 2) members.
[15-02-23 17:12:05.655][info] Got message:ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
